text,emotion
"﻿ऒहोइ, नेपालले पहिलो टुर्नामेन्ट जित्यो।",0
भारत बिरुद्ध को खेलमा नेपाल विजयी भयो।,0
मैले मेस्सिको अटोग्राफ पाए।,0
अर्जेन्टिनाले विश्वकप फूटबल २०२२ जित्यो।,0
राष्ट्रिय खेलाडी सँग कुरा गर्ने अवसर पाए |,0
भी.आई.पी सिटमा बसेर खेल हेर्ने टिकट मिल्यो|,0
नेपालको खेलकुद क्षेत्रमा धेरै देश ले आर्थिक सहयोग गरेका छन्|,0
नेपाली पब्जि मोबाइल टोली जारी १९ औं एसियाली खेलकुदको खेलको सेमिफाइनलमा प्रवेश गरेको छ ।,0
हामीले चाए जस्तो प्रशिक्षक पायौ |,0
भारतले नेपाललाई धेरै खेलकुद सामग्रीहरू उपलब्ध गराएको छ |,0
आज त मौसम ले पनि खेल लाई साथ दिएको छ |,0
नेपाल ले गोल्ड मेडल जित्ने पक्का भयो|,0
हामीले प्रतियोगिता आयोजना गर्ने अधिकार प्राप्त गरेका छौं |,0
"आहा ,खेलाडीहरुको प्रदर्शन ले  मन जित्यो |",0
बिश्वकप छनोट प्रतियोगिता नेपाल मै हुने भयो |,0
हाम्रा खेलाडीले घरेलु मैदान को निकै फाइदा उठाए|,0
मलाई मनपर्ने समूहले सानदार खेल खेलेको छ |,0
नेपाली टोलीलाई प्रायोजकको कमि भने कहिल्यै भएन |,0
संघ द्वारा उत्कृष्ट टोलीको छनोट भयो|,0
आजको खेलबाट मैले अन्य समुहहरुको कमजोरी थाहा पाए |,0
हामीलाई मैदानमा नि:शुल्क खानेपानी र शौचालय को व्यवस्था थियो |,0
भलिबल बोर्डले रास्ट्रिय खेलाडीहरु लाई यही महिना देखि मासिक तलब दिने भएको छ |,0
त्रि.बि मैदानमा फ्लोड़ लाइट जडान हुने पक्का भएको छ |,0
मैले मेरो जन्मदिनकै दिनमा आफ्नो पहिलो अन्तरास्ट्रिय खेल खेल्ने मौका पाए |,0
बाजा बजाएर खेलाडी लगायत हामी दर्सकहरु लाई स्वागत गरियो |,0
भारतमा हुने प्रो-कबड्डी लिगमा नेपालका ४ खेलाडी देखिने भएका छन्|,0
मैदान संगै सिट को पनि राम्रो व्यवस्थापन भएको देख्खियो |,0
बिश्वकिर्तिमान बनाएका दीपेन्द्रलाई सहायक हबलदारमा बढुवा गराईएको छन् |,0
नेपाली फुटबल टोलि  एसियाली विश्वकप छनोटको दोस्रो चरणमा पुगेको छ |,0
जितसंगै नेपाल अंक तालिकाको शीर्ष स्थानमा उक्लिन सफल रह्यो |,0
टेनिस प्रतियोगितामा नेपाली खेलाडी को दबदबा कायम नै रहेको छ |,0
क्यानका नवनिर्वाचित सदस्यहरू खेलकुद को क्षेत्रमा धेरै नै अनुभवी छन् |,0
तिम्ले समर्थन गरेको  टिम लाई त मैले समर्थन गरेको टिमले धुलो चटाईदियो।,0
नेपालले एसीसी यू १९ प्रिमियर कपको उपाधि जितेर  हामीलाई मिठो उपहार दिएको छ |,0
आयोजक टोलिले बिज्ञापन मार्फत संकलन भएको रकम खेलकुद विकास संघलाई सहयोग गरेको छ|,0
खेलाडीले देखाएको परिपक्वता गजबको थियो |,0
गुलशन र रोहितले फाइनल खेलमा अर्धसतक बनाएका छन् |,0
उसको ऑल-राउण्ड प्रदसनले मेरो मन जितेको छ |,0
बिदेशी प्रशिक्षकबाट हाम्रा खेलाडीहरुले तालिम प्राप्त गरेका छन् |,0
